postal_code,building_name,location_description,latitude,longitude
90038,,Level 1 Lift Lobby A,1.39200512922519,103.907127505181
160107,107 Tiong Bahru Orchid,Level 1 Lift Lobby C,1.27983690191197,103.824757769108
150087,,Level 1 Lift Lobby B,1.28603089023714,103.819023673783
151074,,Level 1 Lift Lobby B,1.2879638071767,103.816243088714
151077,,Level 1 Lift Lobby B,1.28838106670584,103.817391094217
150070,70 Redhill Rise,Level 1 Lift Lobby A,1.28672632735078,103.816700522264
150161,,Level 1 Lift Lobby A,1.28391229397444,103.816006111441
150165,,Level 1 Lift Lobby C,1.28305589307332,103.816692798132
90103,103 Bukit Purmei Ville,Level 1 Lift Lobby C,1.3091316668874,103.891799999957
90106,106 Bukit Purmei Ville,Level 1 Lift Lobby B,1.39200512922519,103.907127505181
90109,109 Bukit Purmei Ville,Level 1 Lift Lobby D,1.39200512922519,103.907127505181
90110,110 Bukit Purmei Ville,Level 1 Lift Lobby B,1.3091316668874,103.891799999957
90113,113 Bukit Purmei Ville,Level 1 Lift Lobby C,1.39200512922519,103.907127505181
18988,Marina South Pier,Level 1 Waiting Area,1.3091316668874,103.891799999957
499172,Changi Point Ferry Terminal,Level B1 Behind Admin Counter,1.39086526629426,103.987583561151
126979,West Coast Pier,Level 1 On Wall Beside Security Counter,1.29250760743036,103.762061687065
178902,School of Computing & Information Systems 1,Level B1 Gymnasium,1.29737732421801,103.849551540547
178902,School of Computing & Information Systems 1,Level 1 Gymnasium,1.29737732421801,103.849551540547
677742,West View Primary School,Level 1 Inside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate),1.38378546546228,103.760273432258
677742,West View Primary School,Level 1 Outside Dental Clinic (Available During School Operating Hours. Approach Security Officer At Main Gate),1.38378546546228,103.760273432258
677742,West View Primary School,Level 1 Outside School Hall (Available During School Operating Hours. Approach Security Officer At Main Gate),1.38378546546228,103.760273432258
677742,West View Primary School,"Level B1 Behind Canteen, Opposite Big Heart Student Care (Available During School Operating Hours. Approach Security Officer At Main Gate)",1.38378546546228,103.760273432258
677742,West View Primary School,"Level B2 Sub Station, Next To School Field (Available During School Operating Hours. Approach Security Officer At Main Gate)",1.38378546546228,103.760273432258
757713,Sun Plaza,Level 2 Customer Service Counter,1.44819666623789,103.819498634275
538403,Bartley Secondary School,Level 1 Blk A Outside General Office (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.33995415587811,103.882806211705
538403,Bartley Secondary School,Level 1 Blk H Canteen Area (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.33995415587811,103.882806211705
538403,Bartley Secondary School,Level 1 Blk G Outside Gym (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.33995415587811,103.882806211705
538403,Bartley Secondary School,Level 1 Blk F Beside Lift Landing (Available During School Operating Hours. Approach Security Officer At Main Gate.),1.33995415587811,103.882806211705
538403,Bartley Secondary School,Level 1 School Field Toilet (Available During Dual Use Scheme Operating Hours),1.33995415587811,103.882806211705
329133,Aloft Singapore Novena,Level 2 East Wing Hotel Gym Room,1.32699075133711,103.847403697576
329983,Aloft Singapore Novena,Level 3 West Hotel Gym Room,1.32717562161128,103.846650410884
519599,E!Hub @ Downtown East,"Level 5 E!Hub, Lift Lobby",1.3766980678365,103.95514122442
519599,Downtown East,"Level 3 E!Hub, Lift Lobby",1.3766980678365,103.95514122442
519599,Downtown East,"Level 2 E!Hub, Near Carpark Entrance",1.3766980678365,103.95514122442
58268,Park Regis Singapore,Level 1 Inside FCC,1.39200512922519,103.907127505181
117372,Mapletree Business City,"Level 2 Block 80, Main Lobby (Left Entrance)",1.27587544821221,103.800651847647
117372,Mapletree Business City,"Level 2 Block 80, Main Lobby (Right Entrance)",1.27587544821221,103.800651847647
642648,,Level 1 Lift Lobby A,1.3383876917868,103.698192617992
117384,Mapletree Business City,"Level 2 Block 50, Main Lobby",1.27641922766604,103.798887445736
117384,Mapletree Business City,"Level B1 Block 50 Carpark, Outside Sports Facilities Toilet",1.27641922766604,103.798887445736
138683,,Level 1 University Services Centre Lobby,1.30100873824913,103.780125250887
138683,,"Level B2 University Services Centre, Student Activity Centre",1.30100873824913,103.780125250887
138683,,Level B1 Academic Plaza Study Area,1.30100873824913,103.780125250887
138683,,Level 3 Academic Plaza Lift Lobby,1.30100873824913,103.780125250887
138683,,Level 4 Academic Plaza Lift Lobby,1.30100873824913,103.780125250887
138683,,"Level 2 Recreation Centre, Outside Multipurpose Hall",1.30100873824913,103.780125250887
138683,,"Level 1 Faculty Hall, Security Counter",1.30100873824913,103.780125250887
